,name,img,description,tags,Cronologia,Materiale e Tecnica,Dimensioni,Collocazione,Inventario,Stato di conservazione,Acquisizione,Ambito Culturale,Specifiche di reperimento,Osservazioni,Dati di scavo,Autore,Dritto,Rovescio,Notizie storico-critiche,Zecca,Url,museumName,Altezza,Diametro,Larghezza,Lunghezza,Profondità,Spessore
10,Le nozze di Maria e Giuseppe,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94988_0.jpg?itok=dpUHLf3O,"Maria viene affidata a Giuseppe, secondo la volontà divina, e si compie la cerimonia nel Tempio, rappresentato da Giotto identico a quello dipinto nelle scene precedenti. Anche il gruppo di giovani sulla sinistra è in continuità con l'episodio precedente ed uno di questi è colto ancora nell'atto di spezzare con il ginocchio piegato il ramoscello non fiorito. La figura esile di Maria, giovane fanciulla, presenta un gusto gotico nella sua elegante veste candida. La mano di Maria appoggiata sul suo ventre, mentre Giuseppe le infila l'anello al dito, sembra alludere alla maternità, con tenera naturalezza.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 208 cm ca.Larghezza: 220 cm ca.,"Navata, parete sinistra, registro superiore, II riquadro da destra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-maria/nozze-maria-giuseppe,capellascrovegni,208,0,220.0,0,0,0
11,Il corteo nuziale di Maria,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94989_0.jpg?itok=6Ro5kaM3,"La flessuosa eleganza di Maria e delle fanciulle al suo seguito ha indotto ad ipotizzare un viaggio di Giotto in Francia, viaggio peraltro non documentato. Si giustifica questo goticismo in Giotto con l'influsso derivato dalle sculture di Giovanni Pisano e dagli echi francesi che potevano giugere in Italia tramite piccole sculture in avorio, miniature, smalti applicati su suppellettili sacre e profane. Il gruppo dei tre giovani con clarine e vielle costituisce uno dei brani di pittura più belli del ciclo pittorico per il perfetto equilibrio tra naturalezza ed idealizzazione. Il giovane con le gote gonfiate verrà ripreso da Giotto stesso, in variante, nel paliotto per la chiesa di Ognissanti di Firenze.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 208 cm ca.Larghezza: 220 cm ca.,"Navata, parete sinistra, registro superiore, I riquadro da destra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-maria/il-corteo-nuziale-maria,capellascrovegni,208,0,220.0,0,0,0
12,Dio Padre incarica l'arcangelo Gabriele di dare l'annuncio a Maria,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94990.jpg?itok=ztpDPzqw,"La lunetta dell'arco trionfale è occupata per intero dalla scena dell'Annunciazione. Il  trono in cui siede Dio Padre appoggia su un alto basamento, a tre gradoni, in marmo con protomi leonine. L'articolazione delle tre basi poligonali sono scalate ""prospetticamente"", così da rendere la spazialità a semicerchio delle sue schiere angeliche. Anche le figure degli angeli infatti sono scalate in profondità e avanzano e arretrano in alternanza a seconda dello spazio che occupano.  I loro sguardi e la loro gestualità creano un'intensa animazione, bellissimi anche gli angeli con organo portativo, viella e flauti, un tema che poi avrà un grande sviluppo nella pittura del Trecento e del Quattrocento, in particolare a Padova nela cupola del Battistero dipinta da Giusto de Menabuoi.<br>
La scena rappresenta Dio Padre, dipinto su tavola, che si rivolge all'arcangelo Gabriele, posto sulla destra, affinchè porti l'annuncio della nascita di Gesù a Maria così come descritto nel Vangelo di Luca: ""L'angelo Gabriele fu mandato da Dio in una città della Galilea, chiamata Nazareth, a una vergine promessa sposa di un uomo chiamato Giuseppe. La vergine si chiamava Maria"". Giotto dipinge sulla sinistra la figura di Maria, in ginocchio inserita in un vano architettonico come l'angelo. ",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 540 cm ca.Larghezza: 845 cm ca.,"Arco trionfale, sommità",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-maria/dio-padre-incarica-arcangelo-gabriele-dare-annuncio-maria,capellascrovegni,540,0,845.0,0,0,0
13,La visitazione di Maria ad Elisabetta,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/95095.jpg?itok=s0PTEqXh,"""Maria si mise in viaggio verso la montagna e raggiunse in fretta una città di Giuda. Entrata nella casa di Zaccaria salutò Elisabetta"" (Luca, 1, 39-74). Elisabetta, futura madre di Giovanni Battista, riconosce in Maria la madre di Gesù, del Salvatore tanto atteso dal popolo ebraico e ""il bambinno le sussultò nel grembo"". La ripresa di modelli, forse su cartoni, non è da escludersi come prassi operativa anche nel cantiere padovano così come ipotizzato anche per gli affreschi francescani di Assisi. ",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 150 cm ca.Larghezza: 133 cm ca.,"Arco trionfale, a destra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-maria/visitazione-maria-ad-elisabetta,capellascrovegni,150,0,133.0,0,0,0
14,La natività di Gesù,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94991.jpg?itok=K6MbVn7q,"""Maria pose il fanciullo nella mangiatoia e il bue e l'asino lo adorarono"" (Psuedo Matteo, 13-14). Lo scorcio con il quale viene dipinto l'asino costituisce una delle invenzioni più innovative della pittura italiana. Analogamente di scorcio sono raffigurati i due pastori, dialoganti con l'angelo in alto a significare l'unità di tempo e di azione, e quindi di aprtecipazione, all'episodio narrato. L'iconografia di origine bizantina, e ricorrente in età medioevale, si rinnova profondamente per l'umana tensione affettiva delle figure. Giuseppe, accovacciato, così come i due pastori, diverranno modelli figurativi ricorrenti tra i collaboratori di Giotto, presenti anche negli affreschi del transetto destro della Basilica di Assisi.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 203 cm ca.Larghezza: 200 cm ca.,"Navata, parete destra, registro centrale, I riquadro da sinistra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-cristo/nativita-gesu,capellascrovegni,203,0,200.0,0,0,0
15,L'Adorazione dei Magi,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94992.jpg?itok=pmch4SwG,"""I Re Magi vennero dall'Oriente portando doni preziosi [...] Mentre camminavano riapparve loro la stella; e quale guida li precedeva finchè giunsero dove si trovava il bambino. Entrati nella casa videro il bambino Gesù, che sedeva in braccio alla Madre. Aperti i loro tesori offrirono un dono ciascuno: oro, incenso, mirra"" (Pseudo Matteo, 16). L'angelo a destra di Maria ha una veste che cade morbida e ampia; le maniche sono strette al polso e larghe al gomito come nelle vesti alla moda di primo Trecento. <br>
La caduta del colore, dato a secco, della parasta lignea della capanna, rende ora leggibile il volto dell'angelo posto dietro a Maria. Anche l'azzurrite del manto, in gran parte perduta, permette d'apprezzare il disegno preparatorio. ",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 203 cm ca.Larghezza: 200 cm ca.,"Navata, parete destra, registro centrale, II riquadro da sinistra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-cristo/adorazione-magi,capellascrovegni,203,0,200.0,0,0,0
16,La presentazione di Gesù al Tempio,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94993.jpg?itok=9Suk5J4J,"""Simeone prendendo in braccio il bambino e adagiandolo sul pallio esclamò: - Ora lascia, o Signore, che il tuo servo vada in pace, secondo la tua parola. - [...] C'era nel Tempio anche una profetessa, Anna ed anch'ella adorò il Bambino dicendo: - Poichè in lui sarà la redenzione del mondo - ."" (Pseudo Matteo, 15, 1-3). Queste parole sono riportate nel cartiglio che Anna reca nella mano, testimonianza chiara della fonte da cui il brano è tratto. La composizione godette di una grande fortuna non solo tra i seguaci di Giotto, ma anche tra gli artisti di tutto il Trecento, anche nelle arti minori, come l'oreficeria.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 203 cm ca.Larghezza: 200 cm ca.,"Navata, parete destra, registro centrale, riquadro al centro",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-cristo/presentazione-gesu-tempio,capellascrovegni,203,0,200.0,0,0,0
17,La fuga in Egitto,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94994.jpg?itok=i3Ozj6aK,"Un angelo appare a Giuseppe e gli dice di fuggire con Maria e il Bambino in Egitto: "" Giuseppe si mise in viaggio, come gli aveva detto l'angelo. Ora tre ragazzi percorrevano la strada con Giuseppe mentre una ragazza accompagnava Maria"" (Pseudo Matteo, 17-18). La scena, tra le più note del ciclo pittorico, è tutta racchiusa entro la piramide determinata geometricamente dalla roccia al centro dello sfondo. All'interno di tale definizione geometrico-spaziale, sull'asse centrale, Maria e il Bambino formano, pariteticamente, una composizione piramidale. Sono compresenti, in perfetto equilibrio, il dramma sacro e l'affabilità del narrare. Le quinte montuose e gli alberi sono dipinti in tonalità chiare o scure a seconda delle zone in ombra oppure colpite dalla luce.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 203 cm ca.Larghezza: 200 cm ca.,"Navata, parete destra, registro centrale, II riquadro da destra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-cristo/fuga-egitto,capellascrovegni,203,0,200.0,0,0,0
18,La strage degli Innocenti,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94995.jpg?itok=XDvcyH41,"Erode, non avendo potuto catturare i Re Magi, invia i soldati a Betlemme e fa uccidere tutti i bambini di età non superiore ai due anni. Re Erode si affaccia da una loggia per assistere all'uccisione dei bambini nella speranza che tra questi vi sia il piccolo Gesù. Il Tempio a pianta ottagonale a destra, forse la rappresentazione della chiesa di San Francesco a Bologna, allude simbolicamente al martirio e al culto dei Santi Innocenti. Infatti il rinvenimento di reliquie riferite ai Santi Innocenti nella Basilica di Santa Giustina a Padova (1053) diffuse in città un culto particolarmente sentito in età medioevale.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 203 cm ca.Larghezza: 200 cm ca.,"Navata, parete destra, registro centrale, I riquadro da destra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-cristo/strage-innocenti,capellascrovegni,203,0,200.0,0,0,0
19,Cristo tra i dottori nel Tempio,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94996.jpg?itok=sVB8GWpB,"Maria e Giuseppe, dopo tre giorni di ricerche, trovano Gesù nel Tempio di Gerusalemme seduto tra i Dottori nell'atto di ascoltare e di interrogarli: ""Al vederlo restarono stupiti e sua madre gli disse: - Figlio, perchè ci hai fatto ciò? - Egli rispose: - Perchè mi cercavate? Non sapevate che io debbo occuparmi delle cose del Padre mio? -"". (Luca, 8, 46-49). I dottori sono assiepati sui due lati, lasciando spazio vuoto nella zona centrale dove siede Gesù, in consonanza con il vuoto retrostante del catino absidale che amplifica la scena in profondità.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 203 cm ca.Larghezza: 217 cm ca.,"Navata, parete sinistra, registro centrale, I riquadro da sinistra",S.n.,Mediocre,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-cristo/cristo-tra-dottori-tempio,capellascrovegni,203,0,217.0,0,0,0
20,Il Battesimo di Cristo,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94997.jpg?itok=zwOu4xC6,"Mentre Gesù, immerso nelle acque del fiume Giordano, riceve il battesimo da Giovanni Battista ""[...] il cielo si aprì e scese su di lui lo Spirito Santo in forma di colomba. E vi fu una voce dal cielo - Tu sei il figlio mio prediletto, in te mi sono compiaciuto -"" (Luca, 3, 21-22). Il Padre Eterno in alto e in asse verticale con Cristo, allunga la mano in atto benedicente e trattiene nella mano sinistra il libro delle Sacre Scritture. La trasparenza dell'acqua del fiume lascia visibile il corpo di Gesù, le sue gambe e perfino il pesce che gli guizza a lato. Le due quinte rocciose definiscono lo spazio a imbuto entro il quale viene isolata la figura di Gesù. La figura a destra, un discepolo del Battista, è ancora leggibile nel disegno preparatorio, molto rifinito, data la caduta dell'azzurrite.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 203 cm ca.Larghezza: 217 cm ca.,"Navata, parete sinistra, registro centrale, II riquadro da sinistra",S.n.,Discreto,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-cristo/il-battesimo-cristo,capellascrovegni,203,0,217.0,0,0,0
21,Le nozze di Cana,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94998.jpg?itok=CVyjLHCu,"""Gesù disse ai suoi servi: - Attingete e portate al maestro di mensa. - Egli come ebbe assaggiato disse allo sposo: - Tu hai conservato fino ad ora il vino buono. -"" (Giovanni, 2, 7-11). Giotto narra con grande vivacità il momento in cui il maestro di mensa assaggia il vino, creando una delle figure più realistiche e imitate successivamente nel Trecento. Di grande bellezza è la figura femminile di schiena e di scorcio che sta versando l'acqua con la brocca nelle giare, qui dipinte come come anfore di tipologia classicheggiante. La ricerca costante in Giotto della geometrizzazione delle forme si legge con particolare evidenza in queste sintesi volumetriche che fissano i corpi in movimento colti da particolari angolature. La veste riccamente ornata della sposa, con la corona sul capo, la tovaglia, la stoffa che copre le pareti della stanza, l'anfora sulla loggia in alto, stoviglie e bicchieri sono invece un vivo documento della vita trecentesca.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 203 cm ca.Larghezza: 217 cm ca.,"Navata, parete sinistra, registro centrale, III riquadro da sinistra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-cristo/nozze-cana,capellascrovegni,203,0,217.0,0,0,0
22,La resurrezione di Lazzaro,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/95090_0.jpg?itok=zPYNZncK,"Gesù, recatosi al sepolcro dove era seppellito il suo amico Lazzaro, chiede di togliere la pietra che chiudeva l'apertura e chiama Lazzaro. ""Il morto uscì con i piedi e le mani avvolte in bende, e il volto coperto da un sudario. Gesù disse loro: - Scioglietelo e lasciatelo andare - ."" (Giovanni, 11, 38-44). L'evento miracoloso, commentato con stupore dai discepoli, con devozione dalle sorelle Marta e Maria inginocchiate ai piedi di Cristo, viene sintetizzato emblematicamente nel volto di Lazzaro dalle palpebre e dalla bocca semichisa. La putrefazione del corpo viene espressa dal discepolo a destra che si copre il naso con il mantello, una figura che Giusto de' Menabuoi imiterà nella scena di analogo soggetto nel ciclo degli affreschi del Battistero della Cattedrale di Padova.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 203 cm ca.Larghezza: 217 cm ca.,"Navata, parete sinistra, registro centrale, III riquadro da destra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-cristo/resurrezione-lazzaro,capellascrovegni,203,0,217.0,0,0,0
